Time Stamp,ID,Extended,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
361331900,00000346,false,0,8,27,10,29,24,00,01,08,64
361332100,00000312,false,0,8,66,F0,06,F0,08,EF,07,23
361332300,000006FA,false,0,8,00,4A,4D,46,58,44,47,47
361332600,000002E1,false,0,8,00,00,80,1F,FF,00,00,00
361333100,00000288,false,1,8,27,10,4E,20,0D,3B,01,10
361333400,00000362,false,1,8,02,01,00,00,00,00,00,00
361333600,0000056C,false,1,8,2A,88,02,20,00,00,28,8A
361333900,00000370,false,1,8,05,BE,00,00,00,00,00,00
361333700,00000359,false,0,8,30,03,7F,80,C0,00,2E,00
361334000,0000035A,false,0,8,00,80,80,80,80,00,0C,00
361334500,0000032F,false,0,8,C0,1C,00,00,00,00,00,00
361334700,00000388,false,1,8,01,00,00,00,00,00,00,02
361334700,0000034A,false,0,8,11,00,01,00,00,00,00,00
361335000,00000200,false,0,8,00,03,00,00,40,00,40,00
361335200,00000208,false,0,8,00,20,00,00,00,00,00,00
361335500,00000214,false,0,8,00,00,00,00,00,00,00,00
361335700,00000388,false,0,8,01,00,00,00,00,00,00,02
361336300,00000144,false,0,8,00,00,00,00,00,00,00,00
361336500,00000236,false,0,8,0F,FA,10,00,30,00,00,DA
361336800,00000215,false,0,8,00,00,00,00,00,00,04,00
361337000,0000022D,false,0,8,01,18,87,FF,00,00,00,00
361337900,00000289,false,1,8,27,10,4E,20,0D,3C,11,10
361338200,00000732,false,1,8,03,E8,03,E8,64,64,05,3A
361338500,00000733,false,1,8,35,37,35,37,10,B0,A1,37
361338700,00000377,false,1,8,05,B9,00,7B,3A,37,37,22
361338900,00000287,false,1,8,27,10,27,10,27,10,00,00
361338600,0000039A,false,0,8,67,F8,00,00,00,00,00,00
361338800,00000143,false,0,8,00,00,00,04,08,7D,11,17
361340300,0000028B,false,1,8,27,10,4E,20,0D,3D,01,14
361340500,00000734,false,1,8,03,E8,03,E8,64,64,35,35
361340800,00000735,false,1,8,35,00,35,00,10,B0,A1,36
361341100,00000133,false,0,8,6F,00,03,00,40,00,00,00
361341300,00000145,false,0,8,4E,20,AF,FF,8F,FF,0F,FF
361341600,000002F1,false,0,8,00,00,15,71,00,DF,FF,00
361341800,00000308,false,0,8,00,00,00,40,01,66,CC,00
361342300,00000312,false,0,8,66,F0,06,F0,08,EF,07,23
361341200,00000285,false,1,8,00,00,14,09,91,FE,0C,10
361341800,00000373,false,1,8,B9,B9,7F,7C,0C,58,80,16
361343100,00000288,false,1,8,27,10,4E,20,0D,3B,01,10
361343400,00000362,false,1,8,02,01,00,00,00,00,00,00
361342500,0000022A,false,0,8,00,00,44,00,04,00,04,00
361342800,000007BC,false,0,8,0B,00,00,00,00,00,00,80
361343100,00000315,false,0,8,24,02,00,00,00,00,71,01
361343700,0000035A,false,0,8,00,80,80,80,80,00,00,00
361344900,00000229,false,0,8,08,67,D0,3F,FF,14,00,00
361343600,0000075A,false,1,8,03,E8,03,E8,64,64,36,37
361343900,0000075B,false,1,8,35,00,35,00,10,B2,A1,37
361345200,00000300,false,0,8,00,00,83,80,9F,FF,7F,F3
361345400,00000328,false,0,8,00,00,83,00,80,00,00,C0
361345700,00000330,false,0,8,0D,00,00,00,FF,FF,3F,80
361346200,00000210,false,0,8,00,00,00,00,40,07,D0,FF
361346500,00000236,false,0,8,0F,FA,10,00,40,00,00,92
361346700,00000366,false,0,8,11,07,00,00,00,00,00,00
361347000,00000520,false,0,8,00,00,00,00,00,00,00,00
361347800,00000289,false,1,8,27,10,4E,20,0D,3C,11,10
361348100,0000029A,false,1,8,00,4A,4D,46,58,44,47,47
361348700,0000038A,false,1,8,39,36,00,00,04,00,00,00
361348400,00000425,false,0,8,00,21,0A,10,00,00,00,00
361348700,00000143,false,0,8,00,00,00,04,08,7D,11,17
361348900,00000418,false,0,8,50,FF,FF,00,00,00,00,01
361348900,00000287,false,1,8,27,10,27,10,27,10,00,00
361350300,0000028B,false,1,8,27,10,4E,20,0D,3D,01,14
361351100,00000133,false,0,8,6F,00,00,00,40,00,00,00
361351300,00000145,false,0,8,4E,20,AF,FF,8F,FF,0F,FF
361351600,00000308,false,0,8,00,00,00,00,00,06,CC,00
361351200,00000285,false,1,8,00,00,14,09,91,FE,0C,10
361351800,00000373,false,1,8,B9,B9,7F,7C,0C,58,80,16
361351800,000002E1,false,0,8,00,00,00,9F,FF,00,00,00
361352100,00000312,false,0,8,06,F0,06,F0,08,EF,07,23
361352300,0000030C,false,0,8,00,00,00,00,00,00,00,00
361352500,00000346,false,0,8,27,10,29,24,00,01,08,64
361352800,00000608,false,0,8,36,40,00,00,00,00,00,00
361353200,00000424,false,0,8,04,91,04,10,00,05,00,00
361353700,00000359,false,0,8,30,03,7F,80,C0,00,2E,00
361353000,00000362,false,1,8,02,01,00,00,00,00,00,00
361353300,00000288,false,1,8,27,10,4E,20,0D,3B,01,10
361353500,00000424,false,1,8,04,91,04,10,00,05,00,00
361353800,00000370,false,1,8,05,BE,00,00,00,00,00,00
361353900,0000035A,false,0,8,00,80,80,80,80,00,00,00
361354600,0000032F,false,0,8,9D,1D,00,00,00,00,00,00
361354900,00000200,false,0,8,00,03,00,00,80,00,80,00
361355200,00000208,false,0,8,00,20,30,00,00,00,40,00
361355400,00000214,false,0,8,00,00,00,00,00,00,03,00
361356200,00000215,false,0,8,00,00,00,00,00,00,07,00
